axis;index;value
vertical_x;581;2
vertical_x;582;3
vertical_x;583;25
vertical_x;584;25
vertical_x;585;26
vertical_x;586;26
vertical_x;587;6
vertical_x;588;6
vertical_x;589;8
vertical_x;590;9
vertical_x;591;0
vertical_x;592;1
vertical_x;593;2
vertical_x;594;3
vertical_x;595;5
vertical_x;596;7
vertical_x;597;6
vertical_x;598;5
vertical_x;599;6
vertical_x;600;5
vertical_x;601;5
vertical_x;602;6
vertical_x;603;5
vertical_x;604;8
vertical_x;605;10
vertical_x;606;10
vertical_x;607;9
vertical_x;608;10
vertical_x;609;10
vertical_x;610;12
vertical_x;611;10
vertical_x;612;8
vertical_x;613;5
vertical_x;614;3
vertical_x;615;2
vertical_x;616;1
vertical_x;617;1
vertical_x;618;0
vertical_x;619;2
vertical_x;620;2
vertical_x;621;4
vertical_x;622;25
vertical_x;623;25
vertical_x;624;25
vertical_x;625;25
vertical_x;626;6
vertical_x;627;4
vertical_x;628;4
vertical_x;629;3
vertical_x;630;4
vertical_x;631;5
vertical_x;632;8
vertical_x;633;12
vertical_x;634;12
vertical_x;635;10
vertical_x;636;8
vertical_x;637;3
vertical_x;638;0
vertical_x;639;0
vertical_x;640;2
vertical_x;641;2
vertical_x;642;4
vertical_x;643;25
vertical_x;644;25
vertical_x;645;25
vertical_x;646;25
vertical_x;647;5
vertical_x;648;3
vertical_x;649;3
vertical_x;650;4
vertical_x;651;4
vertical_x;652;4
vertical_x;653;6
vertical_x;654;7
vertical_x;655;12
vertical_x;656;12
vertical_x;657;10
vertical_x;658;6
vertical_x;659;0
vertical_x;660;2
vertical_x;661;2
vertical_x;662;2
vertical_x;663;4
vertical_x;664;25
vertical_x;665;25
vertical_x;666;25
vertical_x;667;6
vertical_x;668;2
vertical_x;669;2
vertical_x;670;2
vertical_x;671;0
vertical_x;672;2
vertical_x;673;2
vertical_x;674;2
vertical_x;675;4
vertical_x;676;25
vertical_x;677;25
vertical_x;678;25
vertical_x;679;10
vertical_x;680;3
vertical_x;681;3
vertical_x;682;3
vertical_x;683;1
vertical_x;684;1
vertical_x;685;1
vertical_x;686;1
vertical_x;687;3
vertical_x;688;3
vertical_x;689;3
vertical_x;690;8
vertical_x;691;25
vertical_x;692;25
vertical_x;693;25
vertical_x;694;4
vertical_x;695;2
vertical_x;696;2
vertical_x;697;2
vertical_x;698;0
vertical_x;699;0
vertical_x;700;0
vertical_x;701;0
vertical_x;702;0
vertical_x;703;0
vertical_x;704;0
vertical_x;705;0
vertical_x;706;0
vertical_x;707;0
vertical_x;708;0
vertical_x;709;2
vertical_x;710;2
vertical_x;711;4
vertical_x;712;25
vertical_x;713;25
vertical_x;714;25
vertical_x;715;25
vertical_x;716;6
vertical_x;717;4
vertical_x;718;5
vertical_x;719;5
vertical_x;720;6
vertical_x;721;8
vertical_x;722;10
vertical_x;723;9
vertical_x;724;10
vertical_x;725;8
vertical_x;726;8
vertical_x;727;7
vertical_x;728;6
vertical_x;729;6
vertical_x;730;4
vertical_x;731;2
vertical_x;732;1
vertical_x;733;0
vertical_x;734;5
vertical_x;735;11
vertical_x;736;15
vertical_x;737;17
vertical_x;738;19
vertical_x;739;9
vertical_x;740;7
vertical_x;741;5
vertical_x;742;4
vertical_x;743;5
vertical_x;744;3
vertical_x;745;3
vertical_x;746;3
vertical_x;747;3
vertical_x;748;3
vertical_x;749;5
vertical_x;750;3
vertical_x;751;5
vertical_x;752;8
vertical_x;753;11
vertical_x;754;19
vertical_x;755;17
vertical_x;756;14
vertical_x;757;10
vertical_x;758;0
vertical_x;759;0
vertical_x;760;2
vertical_x;761;2
vertical_x;762;2
vertical_x;763;4
vertical_x;764;25
vertical_x;765;25
vertical_x;766;25
vertical_x;767;25
vertical_x;768;3
vertical_x;769;3
vertical_x;770;3
vertical_x;771;5
vertical_x;772;5
vertical_x;773;7
vertical_x;774;9
vertical_x;775;12
vertical_x;776;15
vertical_x;777;15
vertical_x;778;8
vertical_x;779;4
vertical_x;780;0
vertical_x;781;0
vertical_x;782;2
vertical_x;783;2
vertical_x;784;2
vertical_x;785;6
vertical_x;786;25
vertical_x;787;25
vertical_x;788;25
vertical_x;789;4
vertical_x;790;2
vertical_x;791;2
vertical_x;792;2
vertical_x;793;0
vertical_x;794;2
vertical_x;795;2
vertical_x;796;2
vertical_x;797;4
vertical_x;798;25
vertical_x;799;25
vertical_x;800;25
vertical_x;801;7
vertical_x;802;5
vertical_x;803;4
vertical_x;804;4
vertical_x;805;4
vertical_x;806;4
vertical_x;807;6
vertical_x;808;9
vertical_x;809;12
vertical_x;810;11
vertical_x;811;9
vertical_x;812;6
vertical_x;813;0
vertical_x;814;0
vertical_x;815;2
vertical_x;816;2
vertical_x;817;2
vertical_x;818;4
vertical_x;819;25
vertical_x;820;25
vertical_x;821;25
vertical_x;822;6
vertical_x;823;3
vertical_x;824;3
vertical_x;825;3
vertical_x;826;3
vertical_x;827;3
vertical_x;828;3
vertical_x;829;4
vertical_x;830;5
vertical_x;831;12
vertical_x;832;4
vertical_x;833;8
vertical_x;834;3
vertical_x;835;2
vertical_x;836;0
vertical_x;837;0
vertical_x;838;2
vertical_x;839;2
vertical_x;840;4
vertical_x;841;25
vertical_x;842;25
vertical_x;843;25
vertical_x;844;25
vertical_x;845;6
vertical_x;846;4
vertical_x;847;4
vertical_x;848;7
vertical_x;849;7
vertical_x;850;8
vertical_x;851;9
vertical_x;852;11
vertical_x;853;10
vertical_x;854;9
